ID,Square_Feet,Bedrooms,Bathrooms,Location,Year_Built,Condition,Price
153,4055,5.0,1,Suburban,1957,Average,637800.0
154,1566,2.0,1,Urban,2018,Average,333200.0
155,3127,5.0,2,Suburban,2020,Good,682400.0
156,3731,4.0,3,Urban,2013,Old,604650.0
157,997,,1,Suburban,1993,New,264280.0
158,2730,1.0,1,Rural,1961,Good,362500.0
159,4382,1.0,3,Urban,1953,Old,612300.0
160,1408,3.0,1,Suburban,1989,Good,282600.0
161,4072,2.0,2,Suburban,1968,Average,649091.9997073561
162,1947,4.0,1,Urban,2003,Average,414400.0
163,4197,2.0,2,Rural,1950,Average,460640.0
164,3311,5.0,3,Suburban,1962,Old,401320.0
165,2594,4.0,3,Urban,1999,Good,679500.0
166,1459,4.0,3,Urban,2002,Old,252850.0
167,3611,1.0,1,Suburban,1991,Good,705200.0
168,2169,5.0,3,Suburban,1974,New,536560.0
169,2786,1.0,1,Urban,1993,Average,542200.0
170,946,1.0,1,Suburban,2010,New,229040.0
171,4019,3.0,1,Urban,1970,Average,785800.0
172,3711,1.0,3,Suburban,2000,New,892640.0
173,2534,2.0,3,Suburban,2001,Old,317080.0
174,2643,4.0,1,Suburban,2012,Average,456880.0
175,1288,,3,Suburban,2003,Old,159560.0
176,3776,2.0,1,Suburban,1959,Old,414120.0
177,2759,5.0,3,Urban,2008,Good,739750.0
178,3185,4.0,2,Suburban,1957,Average,493600.0
179,3719,5.0,3,Urban,2000,New,1157700.0
180,2602,2.0,3,Suburban,1954,New,590480.0
181,4861,5.0,3,Suburban,1991,Average,810760.0
182,4169,5.0,1,Urban,1961,Good,1035250.0
183,1062,5.0,1,Suburban,1973,Average,174920.0
184,1423,1.0,2,Suburban,1994,Old,161760.0
185,1816,1.0,2,Rural,2002,Good,271400.0
186,4443,1.0,2,Urban,2002,Old,665450.0
187,2849,4.0,1,Urban,1966,Average,557800.0
188,4523,2.0,2,Suburban,2014,Good,925600.0
189,3908,,2,Suburban,2007,Average,629280.0
190,4890,5.0,3,Urban,1986,Average,1006000.0
191,2856,5.0,2,Rural,1991,Good,456400.0
192,3970,5.0,3,Suburban,2019,Good,855000.0
193,2482,,1,Rural,1989,Average,298514.52110659005
194,3055,3.0,1,Suburban,1972,New,717200.0
195,1954,4.0,3,Urban,1972,Good,492500.0
196,3991,,2,Urban,1998,New,1202300.0
197,2496,2.0,1,Rural,1956,New,407280.0
198,4791,1.0,3,Urban,1986,New,1425300.0
199,2448,3.0,1,Rural,1965,New,417640.0
200,2245,2.0,1,Suburban,1987,Old,258400.0
201,4999,4.0,2,Urban,1989,Average,1015800.0
202,4723,5.0,1,Suburban,1978,Good,954600.0
203,1053,1.0,3,Suburban,1966,Average,136480.0
204,3983,4.0,2,Suburban,1969,Average,633280.0
205,3357,,3,Urban,1974,Average,657400.0
206,898,3.0,3,Rural,2009,Average,138760.0
207,3000,1.0,3,Suburban,1987,Average,456969.99220159923
208,3761,2.0,2,Rural,2012,Good,583150.0
209,4577,1.0,1,Suburban,1988,Average,712320.0
210,3669,2.0,3,Urban,2013,Average,758800.0
211,4034,5.0,1,Suburban,1970,Average,647440.0
212,4591,3.0,1,Suburban,1981,Old,543920.0
213,1756,5.0,3,Urban,1977,New,545800.0
214,4867,2.0,1,Rural,1961,Old,401030.0
215,960,4.0,2,Urban,1972,Average,191000.0
216,2100,5.0,2,Rural,1964,Old,190000.0
217,4787,4.0,1,Suburban,1961,Good,940400.0
218,2327,2.0,1,Suburban,1953,Good,420400.0
219,2018,3.0,2,Urban,1984,Good,505500.0
220,3904,4.0,1,Suburban,2010,New,968960.0
221,3535,2.0,1,Suburban,1976,Good,685000.0
222,1754,4.0,1,Suburban,1982,New,424960.0
223,4246,5.0,1,Suburban,1962,Good,843200.0
224,1845,2.0,3,Suburban,1986,Old,219400.0
225,2493,5.0,1,Suburban,1993,Old,324160.0
226,4236,1.0,2,Suburban,1951,Old,456320.0
227,1362,2.0,3,Urban,1987,Old,203300.0
228,3285,4.0,3,Urban,1986,New,1003500.0
229,4154,1.0,2,Rural,2008,Good,628100.0
230,1025,5.0,1,Suburban,2018,Average,214000.0
231,1759,5.0,3,Urban,1967,Old,272850.0
232,3867,4.0,3,Suburban,1997,Good,802400.0
233,1615,1.0,1,Urban,2015,Good,410750.0
234,3920,3.0,1,Urban,1998,Good,990000.0
235,816,4.0,2,Urban,2007,Average,197200.0
236,2043,5.0,3,Rural,1984,Old,209870.0
237,3005,,1,Rural,2007,New,549900.0
238,3324,1.0,1,Suburban,1956,New,745760.0
239,1869,3.0,2,Urban,1958,Average,348800.0
240,4244,2.0,3,Suburban,2018,Average,709040.0
241,3365,1.0,1,Suburban,1953,New,752600.0
242,1860,4.0,2,Urban,1981,New,566000.0
243,3127,4.0,3,Urban,1954,Old,455050.0
244,4220,1.0,3,Suburban,2005,New,1019800.0
245,1101,3.0,3,Urban,2005,New,357300.0
246,1406,1.0,3,Urban,1993,New,416800.0
247,3970,2.0,2,Suburban,2021,Average,663200.0
248,1499,2.0,1,Suburban,1962,New,323760.0
249,1939,4.0,3,Rural,1953,New,323236.1349122319
250,990,1.0,3,Urban,2001,Old,151500.0
251,3100,4.0,1,Suburban,1964,Good,606000.0
252,1780,3.0,3,Urban,1950,Average,328000.0
253,3775,2.0,3,Urban,2014,Average,781000.0
254,1984,5.0,1,Suburban,1960,Old,230080.0
255,4127,5.0,1,Urban,2010,New,1280100.0
256,4194,1.0,3,Urban,2012,Good,1062500.0
257,927,1.0,1,Suburban,1987,Old,90240.0
258,2865,5.0,2,Urban,2018,Good,771250.0
259,2616,1.0,2,Rural,1994,New,461880.0
260,1369,2.0,3,Urban,2019,Good,373250.0
261,2695,,3,Urban,2017,Old,443250.0
262,3533,,1,Urban,1953,New,1024900.0
263,4663,4.0,1,Urban,2020,Average,974600.0
264,4814,2.0,3,Rural,1997,Good,731100.0
265,3701,1.0,3,Suburban,1958,New,848240.0
266,2486,1.0,2,Urban,1996,New,755124.4015630924
267,3809,4.0,1,Suburban,2009,Old,488080.0
268,954,4.0,3,Rural,2001,New,204720.0
269,3337,1.0,3,Urban,1982,Old,484550.0
270,2209,1.0,1,Urban,2007,Average,440800.0
271,4857,2.0,1,Urban,1997,Good,1213250.0
272,1584,4.0,3,Suburban,1954,Average,239440.0
273,3975,2.0,3,Urban,1976,Old,584250.0
274,3606,1.0,3,Urban,1990,Average,713200.0
275,1337,5.0,1,Suburban,1950,Good,249400.0
276,2641,5.0,3,Suburban,2000,Average,464560.0
277,3255,1.0,3,Suburban,1965,New,748200.0
278,1324,4.0,3,Urban,1981,Good,344000.0
279,3750,5.0,2,Suburban,1996,Average,633000.0
280,4931,4.0,2,Rural,1972,Good,738650.0
281,4915,5.0,1,Urban,1964,Average,979000.0
282,3168,4.0,3,Urban,1975,New,957400.0
283,4647,5.0,3,Suburban,1986,Old,585640.0
284,3501,,1,Suburban,2004,Average,586160.0
285,1771,2.0,1,Urban,1951,Good,395750.0
286,1966,4.0,1,Urban,1968,Average,406265.627086775
287,3574,2.0,3,Suburban,1981,Old,421880.0
288,2782,2.0,2,Suburban,2018,New,692680.0
289,1653,1.0,1,Suburban,2004,New,392720.0
290,4946,2.0,3,Suburban,2005,Old,610520.0
291,4536,3.0,1,Urban,1978,New,1350800.0
292,4569,2.0,3,Suburban,1985,Average,728040.0
293,1374,4.0,1,Urban,2020,Good,385500.0
294,4061,2.0,3,Suburban,2002,Average,663760.0
295,1948,4.0,1,Suburban,1988,Old,243760.0
296,2515,4.0,2,Suburban,1960,Average,389400.0
297,4654,3.0,1,Suburban,1979,Average,735640.0
298,3291,2.0,1,Urban,2021,Old,516650.0
299,3460,2.0,2,Urban,2002,Good,874000.0
300,3924,5.0,1,Urban,1957,New,1166200.0
301,3851,5.0,2,Suburban,1969,Old,468120.0
302,804,1.0,3,Urban,1961,New,204200.0
303,1676,4.0,2,Urban,2016,New,545800.0
304,1791,3.0,2,Suburban,1999,Old,230920.0
305,4942,5.0,3,Urban,1961,Good,1238500.0
306,1435,2.0,2,Suburban,2003,Old,182200.0
307,2493,1.0,2,Urban,2003,Old,373950.0
308,2482,3.0,3,Urban,1968,Average,486400.0
309,919,2.0,1,Urban,1963,Average,138123.81488642775
310,1630,2.0,1,Rural,2001,Old,149700.0
311,4475,4.0,2,Urban,1971,Average,893000.0
312,2169,4.0,1,Urban,1953,Good,517250.0
313,1540,5.0,1,Suburban,2008,Average,286400.0
314,916,5.0,2,Suburban,1983,Good,203200.0
315,3638,2.0,3,Urban,2013,New,1116400.0
316,1950,2.0,1,Suburban,1967,New,437000.0
317,2731,5.0,2,Suburban,1980,Good,563200.0
318,1812,5.0,3,Suburban,1991,New,467880.0
319,2464,2.0,1,Urban,1952,Good,570000.0
320,1881,3.0,3,Urban,2004,Old,308150.0
321,1312,2.0,2,Urban,1959,Average,228400.0
322,3649,3.0,3,Suburban,2020,New,917760.0
323,1359,3.0,3,Urban,1971,New,400700.0
324,4472,2.0,2,Suburban,1972,Old,515640.0
325,4143,1.0,1,Urban,1962,Average,782600.0
326,4870,5.0,1,Urban,1989,Average,995000.0
327,2270,4.0,3,Suburban,1962,Good,462660.7736502796
328,1380,2.0,3,Suburban,2000,New,343200.0
329,3094,3.0,3,Suburban,2013,Average,530040.0
330,3947,2.0,3,Urban,1962,New,1158100.0
331,2479,5.0,1,Urban,1978,New,753700.0
332,4306,,2,Suburban,2020,New,1070440.0
333,3544,4.0,2,Suburban,1996,New,873560.0
334,4156,4.0,2,Suburban,1975,Good,833200.0
335,4845,4.0,3,Urban,2019,Average,1020000.0
336,2043,1.0,3,Suburban,1972,New,464320.0
337,3918,3.0,2,Rural,2005,Average,492160.0
338,2941,3.0,1,Urban,1968,Old,421150.0
339,3859,1.0,2,Suburban,1999,Old,459080.0
340,3759,3.0,1,Urban,1984,Average,747800.0
341,3065,1.0,3,Urban,1998,Good,762339.568499013
342,3279,2.0,2,Urban,1995,Good,821750.0
343,2435,5.0,2,Suburban,2019,Old,333990.78510307474
344,2557,4.0,3,Urban,2002,New,801100.0
345,2870,1.0,1,Suburban,1980,Old,316400.0
346,3649,1.0,2,Urban,1971,New,1062700.0
347,4051,1.0,2,Urban,2016,Old,620650.0
348,4530,2.0,1,Urban,1957,Old,638500.0
349,3289,1.0,2,Suburban,1968,Good,622800.0
350,2431,5.0,2,Urban,1980,Average,503200.0
351,3616,5.0,3,Urban,1981,Average,746200.0
352,1815,4.0,1,Urban,2004,Old,298250.0
353,2148,2.0,2,Urban,1980,Good,524000.0
354,3887,5.0,2,Urban,2016,New,1219100.0
355,3639,3.0,3,Urban,2000,Old,567850.0
356,1135,3.0,2,Urban,1976,New,329108.09546360373
357,1695,3.0,3,Suburban,1997,New,425800.0
358,4346,1.0,2,Urban,1992,Good,968410.2507457896
359,1651,1.0,3,Suburban,2000,Good,332200.0
360,2487,3.0,1,Urban,2018,Average,527400.0
361,2731,4.0,1,Urban,2020,Good,724750.0
362,4546,4.0,2,Suburban,2021,Old,593520.0
363,3227,1.0,2,Suburban,1999,Old,383240.0
364,2368,3.0,3,Rural,2010,New,458240.0
365,4800,4.0,3,Urban,1990,Average,982000.0
366,3538,1.0,1,Suburban,2000,New,841120.0
367,4298,3.0,2,Suburban,1973,New,1021520.0
368,4713,2.0,3,Suburban,1979,Average,745080.0
369,1866,3.0,1,Rural,2001,New,348880.0
370,3244,3.0,1,Urban,1999,Average,659800.0
371,4907,5.0,3,Urban,2006,New,1510370.0541455091
372,4173,5.0,2,Suburban,2011,New,1049520.0
373,4769,2.0,1,Urban,2002,Average,957800.0
374,3346,2.0,3,Suburban,2017,Old,430520.0
375,1553,3.0,1,Urban,2018,New,495900.0
376,2882,4.0,2,Suburban,1980,New,698680.0
377,3574,2.0,3,Urban,1979,Old,527100.0
378,3696,3.0,2,Urban,1959,Average,715200.0
379,4985,1.0,2,Rural,1993,Average,588200.0
380,1575,5.0,1,Urban,1955,Old,223250.0
381,2425,4.0,2,Urban,1976,Average,488000.0
382,3869,,1,Urban,1969,Good,948250.0
383,1217,1.0,3,Suburban,1969,New,263080.0
384,914,5.0,3,Suburban,1961,Average,149240.0
385,1416,1.0,1,Suburban,1998,Old,159920.0
386,4774,3.0,1,Suburban,2001,New,1158760.0
387,4067,2.0,1,Urban,1959,Old,571050.0
388,1625,5.0,2,Urban,1954,Average,316000.0
389,2316,1.0,3,Urban,2013,Old,362400.0
390,3946,2.0,3,Suburban,2007,Old,492520.0
391,1212,,2,Suburban,1957,New,274880.0
392,1528,3.0,1,Urban,1979,New,449400.0
393,4148,3.0,3,Urban,1966,Average,817600.0
394,3608,5.0,2,Urban,2016,Old,594200.0
395,1475,1.0,1,Urban,1970,Old,183250.0
396,4265,4.0,3,Urban,1965,Average,850000.0
397,3304,5.0,1,Urban,1976,Old,503600.0
398,3767,5.0,2,Urban,1955,Old,557050.0
399,3586,1.0,3,Suburban,1991,Old,423320.0
400,1922,4.0,1,Urban,1965,Old,275300.0
401,4879,1.0,1,Suburban,1994,Good,961800.0
402,2371,3.0,1,Urban,1952,Average,438200.0
403,2943,2.0,2,Suburban,1989,Average,466880.0
404,2487,3.0,1,Urban,1969,Old,354050.0
405,4932,3.0,3,Suburban,1956,Average,767120.0
406,4651,5.0,3,Urban,2008,Good,1212750.0
407,4240,3.0,1,Urban,1960,Old,608000.0
408,4566,4.0,2,Rural,2001,New,849880.0
409,3126,3.0,3,Suburban,1952,Good,599200.0
410,3714,4.0,3,Urban,1970,New,1116200.0
411,4752,1.0,3,Urban,2002,Average,954400.0
412,1395,5.0,1,Urban,1979,Average,290000.0
413,1528,4.0,3,Suburban,1960,Average,236480.0
414,2165,3.0,1,Suburban,1974,Old,245800.0
415,1498,5.0,1,Urban,1999,Good,405500.0
416,1195,5.0,1,Urban,1958,Good,288750.0
417,4971,4.0,1,Urban,1994,Old,761650.0
418,3302,4.0,1,Urban,1978,Old,495300.0
419,2619,2.0,3,Suburban,2011,Average,442040.0
420,1517,2.0,1,Suburban,1964,Good,269400.0
421,3582,5.0,1,Suburban,1968,Average,573120.0
422,4377,2.0,1,Urban,1964,Good,1060250.0
423,943,3.0,1,Suburban,1988,Old,113160.0
424,3940,1.0,1,Urban,1984,Average,764000.0
425,3738,,1,Suburban,1962,Good,741600.0
426,4436,1.0,3,Rural,1965,Old,366240.0
427,4022,2.0,1,Suburban,2016,New,983280.0
428,1967,4.0,1,Urban,2004,Average,419400.0
429,3416,5.0,3,Urban,2014,Good,910000.0
430,1862,2.0,3,Suburban,1984,Good,368400.0
431,2956,3.0,2,Urban,1965,Average,573200.0
432,3782,5.0,3,Suburban,1950,Good,748400.0
433,4094,5.0,3,Urban,1999,New,1269200.0
434,1956,4.0,1,Urban,1963,New,571800.0
435,1532,5.0,2,Urban,2011,Good,431000.0
436,1753,4.0,1,Urban,1956,Average,328600.0
437,3339,2.0,2,Suburban,1972,Good,598836.8667899992
438,4124,3.0,1,Suburban,2012,Good,848800.0
439,4101,3.0,3,Suburban,1978,New,1011865.7455721095
440,2342,5.0,3,Urban,1971,Old,364300.0
441,1991,5.0,2,Urban,1955,Old,290650.0
442,3793,2.0,1,Suburban,1978,Good,738600.0
443,3481,4.0,1,Urban,1951,Average,669200.0
444,2017,3.0,3,Suburban,2013,New,519080.0
445,2340,4.0,3,Urban,1985,Old,368000.0
446,4036,2.0,2,Suburban,1969,Good,783200.0
447,3186,3.0,3,Suburban,2004,Average,535760.0
448,4519,,2,Urban,1986,New,1358700.0
449,2188,1.0,2,Suburban,2001,Old,260560.0
450,2656,2.0,2,Suburban,2018,Old,343720.0
451,2165,2.0,2,Suburban,2019,Old,285800.0
452,1299,1.0,3,Urban,1971,Average,211006.4533005554
453,2480,4.0,2,Urban,1964,Average,487000.0
454,1310,1.0,3,Suburban,1996,Average,196670.99027869714
455,2124,2.0,2,Suburban,2020,Good,451800.0
456,1955,4.0,3,Suburban,2018,New,519200.0
457,2627,3.0,2,Suburban,2001,Good,543400.0
458,3941,1.0,3,Urban,1988,New,1172300.0
459,4286,4.0,1,Rural,1951,Average,487320.0
460,2610,4.0,2,Urban,1994,Old,412500.0
461,3723,4.0,2,Rural,1973,Average,446760.0
462,3014,1.0,1,Urban,2010,Good,755500.0
463,4986,3.0,1,Urban,2014,Average,1023200.0
464,1513,4.0,2,Urban,2002,Average,331600.0
465,4402,1.0,3,Rural,1970,Average,500240.0
466,4934,2.0,2,Suburban,2016,Old,615080.0
467,4322,1.0,3,Suburban,1950,New,1057085.7517293594
468,2043,1.0,1,Urban,2008,New,612900.0
469,4509,1.0,3,Urban,1996,Good,1125250.0
470,1881,4.0,2,Suburban,1967,New,445440.0
471,1255,1.0,1,Urban,1982,Average,225000.0
472,1694,2.0,1,Suburban,1964,Old,169280.0
473,2184,4.0,2,Suburban,1973,Average,349440.0
474,2758,2.0,2,Urban,1985,Average,543600.0
475,3872,5.0,1,Suburban,2009,Good,815400.0
476,2796,1.0,3,Suburban,1983,Average,432360.0
477,1304,,3,Rural,2000,Average,188480.0
478,2014,4.0,3,Suburban,1989,Good,423800.0
479,2331,1.0,2,Suburban,1971,New,527440.0
480,4240,3.0,1,Urban,1965,New,1249000.0
481,1623,3.0,3,Urban,1991,New,499900.0
482,1728,2.0,1,Urban,1965,Good,399000.0
483,933,1.0,3,Urban,1954,Good,189250.0
484,2905,1.0,1,Urban,1955,Old,382750.0
485,4427,5.0,2,Urban,1991,Old,692050.0
486,2652,3.0,2,Suburban,1979,Average,420320.0
487,4975,3.0,2,Suburban,1981,Average,794000.0
488,3733,1.0,3,Urban,2002,Good,937250.0
489,4084,2.0,2,Urban,1968,Good,996000.0
490,3611,1.0,2,Urban,2000,Old,538650.0
491,2050,2.0,2,Urban,1977,Average,394000.0
492,4312,3.0,1,Urban,1996,Average,870400.0
493,2056,5.0,1,Suburban,2021,Average,381960.0
494,4176,4.0,1,Suburban,1950,New,974240.0
495,4286,,1,Suburban,2017,Old,543320.0
496,4384,2.0,1,Urban,2006,New,1453495.9007008872
497,2196,1.0,1,Urban,1971,Average,402200.0
498,4437,3.0,1,Urban,2007,Good,1128250.0
499,4130,5.0,2,Suburban,1962,Old,494600.0
500,3503,2.0,2,Suburban,1988,New,835720.0
501,1270,1.0,3,Urban,1976,Average,232000.0
502,2153,4.0,2,Suburban,1988,New,531720.0
503,3583,2.0,1,Urban,2021,Good,918750.0
504,3631,1.0,1,Suburban,1961,Old,388720.0
505,1157,4.0,3,Suburban,1973,Good,236400.0
506,3819,1.0,2,Urban,1967,Good,918750.0
507,1467,4.0,2,Suburban,1964,Old,167040.0
508,1945,4.0,3,Urban,2009,Average,430000.0
509,4985,4.0,1,Urban,1965,Average,984000.0
510,4519,1.0,1,Urban,1996,New,1343700.0
511,3545,4.0,1,Urban,1973,Average,704000.0
512,1339,2.0,1,Urban,1994,Average,263800.0
513,3579,5.0,3,Suburban,1968,Average,582640.0
514,4936,5.0,2,Urban,1990,New,1507800.0
515,4575,4.0,1,Urban,1980,Old,688250.0
516,3308,5.0,2,Suburban,1965,Average,531280.0
517,3579,5.0,2,Rural,1972,Good,545850.0
518,1724,4.0,1,Suburban,1972,Average,269840.0
519,3756,4.0,1,Rural,1990,Average,462720.0
520,2381,2.0,1,Suburban,1967,Old,254720.0
521,4124,3.0,2,Urban,1985,Good,1033000.0
522,1055,1.0,3,Suburban,1961,New,216200.0
523,2638,4.0,1,Urban,2018,Average,567600.0
524,2744,4.0,2,Urban,2000,Average,575800.0
525,809,,2,Urban,1981,Average,179800.0
526,3671,2.0,1,Urban,2020,Average,756200.0
527,1597,5.0,3,Suburban,1985,Good,346400.0
528,1815,4.0,1,Suburban,1989,Old,228800.0
529,2624,4.0,1,Urban,2019,Old,434600.0
